date,installed_capacity_mw,available_supply_mw,peak_load_mw,min_load_mw,reserve_mw,reserve_rate_pct,peak_timestamp_raw,min_timestamp_raw
2020-02-03,125358,95400,76775,,18625,24.3,2020/02/03(10:00),-
2020-02-04,125358,96258,77877,,18381,23.6,2020/02/04(09:00),-
2020-02-05,125358,97018,80770,,16248,20.1,2020/02/05(10:00),-
2020-02-06,125358,97069,81493,,15576,19.1,2020/02/06(10:00),-
2020-02-07,125358,96718,79761,,16957,21.3,2020/02/07(10:00),-
2020-02-08,125358,95448,65470,,29978,45.8,2020/02/08(01:00),-
2020-02-09,125358,96834,62873,,33961,54.0,2020/02/09(20:00),-
2020-02-10,125358,95475,76445,,19030,24.9,2020/02/10(10:00),-
2020-02-11,125358,94879,75830,,19049,25.1,2020/02/11(10:00),-
2020-02-12,125358,93859,77688,,16171,20.8,2020/02/12(11:00),-
2020-02-13,125887,95029,74042,,20987,28.3,2020/02/13(10:00),-
2020-02-14,125887,95318,72476,,22842,31.5,2020/02/14(10:00),-
2020-02-15,125887,93364,60935,,32429,53.2,2020/02/15(01:00),-
2020-02-16,125887,96078,63497,,32581,51.3,2020/02/16(20:00),-
2020-02-17,125887,97039,80648,,16391,20.3,2020/02/17(11:00),-
2020-02-18,125887,96863,80338,,16525,20.6,2020/02/18(10:00),-
2020-02-19,125887,96894,77972,,18922,24.3,2020/02/19(10:00),-
2020-02-20,125887,95750,74510,,21240,28.5,2020/02/20(09:00),-
2020-02-21,125887,96738,73398,,23340,31.8,2020/02/21(10:00),-
2020-02-22,125887,96245,62123,,34122,54.9,2020/02/22(24:00),-
2020-02-23,125887,96379,60988,,35391,58.0,2020/02/23(20:00),-
2020-02-24,125887,96071,71041,,25030,35.2,2020/02/24(10:00),-
2020-02-25,125887,94728,76417,,18311,24.0,2020/02/25(11:00),-
2020-02-26,125887,94390,72005,,22385,31.1,2020/02/26(10:00),-
2020-02-27,125887,93785,70327,,23458,33.4,2020/02/27(09:00),-
2020-02-28,125887,93914,74398,,19516,26.2,2020/02/28(11:00),-
2020-02-29,125887,92676,61341,,31335,51.1,2020/02/29(01:00),-
2020-03-01,125887,90853,59052,,31801,53.9,2020/03/01(20:00),-
2020-03-02,125887,93738,70171,,23567,33.6,2020/03/02(19:00),-
2020-03-03,125887,92536,69937,,22599,32.3,2020/03/03(09:00),-
2020-03-04,125887,92449,71207,,21242,29.8,2020/03/04(19:00),-
2020-03-05,125887,91190,71279,,19911,27.9,2020/03/05(09:00),-
2020-03-06,125887,91029,70461,,20568,29.2,2020/03/06(09:00),-
2020-03-07,125887,87952,61624,,26328,42.7,2020/03/07(11:00),-
2020-03-08,125887,87904,57799,,30105,52.1,2020/03/08(20:00),-
2020-03-09,125887,90748,69348,,21400,30.9,2020/03/09(10:00),-
2020-03-10,125887,90877,73329,,17548,23.9,2020/03/10(11:00),-
2020-03-11,125887,91229,69189,,22040,31.9,2020/03/11(19:00),-
2020-03-12,125887,90698,69187,,21511,31.1,2020/03/12(09:00),-
2020-03-13,125887,89983,69141,,20842,30.1,2020/03/13(09:00),-
2020-03-14,125887,85307,61420,,23887,38.9,2020/03/14(01:00),-
2020-03-15,125887,86578,59745,,26833,44.9,2020/03/15(20:00),-
2020-03-16,125887,89903,69166,,20737,30.0,2020/03/16(19:00),-
2020-03-17,125887,89602,70633,,18969,26.9,2020/03/17(10:00),-
2020-03-18,125887,88257,67700,,20557,30.4,2020/03/18(09:00),-
2020-03-19,125887,88786,68829,,19957,29.0,2020/03/19(10:00),-
2020-03-20,125887,89277,65269,,24008,36.8,2020/03/20(09:00),-
2020-03-21,125887,85555,58825,,26730,45.4,2020/03/21(01:00),-
2020-03-22,125887,84330,56264,,28066,49.9,2020/03/22(20:00),-
2020-03-23,125887,84764,65294,,19470,29.8,2020/03/23(20:00),-
2020-03-24,125887,84829,65456,,19373,29.6,2020/03/24(20:00),-
2020-03-25,125887,84385,64440,,19945,31.0,2020/03/25(20:00),-
2020-03-26,125887,83727,66984,,16743,25.0,2020/03/26(17:00),-
2020-03-27,125887,85189,67487,,17702,26.2,2020/03/27(10:00),-
2020-03-28,125887,83711,57706,,26005,45.1,2020/03/28(20:00),-
2020-03-29,125887,83156,56117,,27039,48.2,2020/03/29(20:00),-
2020-03-30,125887,86752,64310,,22442,34.9,2020/03/30(20:00),-
2020-03-31,125887,86469,64045,,22424,35.0,2020/03/31(20:00),-
2020-04-01,125887,92044,65397,,26647,40.7,2020/04/01(10:00),-
2020-04-02,125887,92581,64793,,27788,42.9,2020/04/02(20:00),-
2020-04-03,125887,92166,63334,,28832,45.5,2020/04/03(20:00),-
2020-04-04,125887,91190,57117,,34073,59.7,2020/04/04(01:00),-
2020-04-05,125887,90878,56568,,34310,60.7,2020/04/05(20:00),-
2020-04-06,125887,91182,64714,,26468,40.9,2020/04/06(20:00),-
2020-04-07,125887,90860,64082,,26778,41.8,2020/04/07(20:00),-
2020-04-08,125887,91327,64227,,27100,42.2,2020/04/08(20:00),-
2020-04-09,126262,89866,64862,,25004,38.5,2020/04/09(20:00),-
2020-04-10,126262,89377,63376,,26001,41.0,2020/04/10(20:00),-
2020-04-11,126262,88341,56756,,31585,55.7,2020/04/11(20:00),-
2020-04-12,126262,87889,56211,,31678,56.4,2020/04/12(20:00),-
2020-04-13,126262,87519,64411,,23108,35.9,2020/04/13(20:00),-
2020-04-14,126262,85438,62808,,22630,36.0,2020/04/14(20:00),-
2020-04-15,126262,85381,59614,,25767,43.2,2020/04/15(20:00),-
2020-04-16,126262,83416,63018,,20398,32.4,2020/04/16(20:00),-
2020-04-17,126262,83368,66699,,16669,25.0,2020/04/17(10:00),-
2020-04-18,126262,81674,55711,,25963,46.6,2020/04/18(01:00),-
2020-04-19,126262,83068,56027,,27041,48.3,2020/04/19(20:00),-
2020-04-20,126262,84130,64906,,19224,29.6,2020/04/20(17:00),-
2020-04-21,126262,85926,64403,,21523,33.4,2020/04/21(20:00),-
2020-04-22,126262,86202,63868,,22334,35.0,2020/04/22(20:00),-
2020-04-23,126262,85634,64118,,21516,33.6,2020/04/23(20:00),-
2020-04-24,126262,88897,62099,,26798,43.2,2020/04/24(20:00),-
2020-04-25,126262,88784,56341,,32443,57.6,2020/04/25(01:00),-
2020-04-26,126262,89516,54785,,34731,63.4,2020/04/26(21:00),-
2020-04-27,126262,90357,62669,,27688,44.2,2020/04/27(20:00),-
2020-04-28,126262,90838,61242,,29596,48.3,2020/04/28(20:00),-
2020-04-29,126262,91654,59574,,32080,53.8,2020/04/29(20:00),-
2020-04-30,126262,93909,55855,,38054,68.1,2020/04/30(21:00),-
2020-05-01,126262,92948,53435,,39513,73.9,2020/05/01(21:00),-
2020-05-02,126262,92659,52776,,39883,75.6,2020/05/02(20:00),-
2020-05-03,126262,91563,53877,,37686,69.9,2020/05/03(21:00),-
2020-05-04,126262,91579,57080,,34499,60.4,2020/05/04(20:00),-
2020-05-05,126262,91397,56310,,35087,62.3,2020/05/05(21:00),-
2020-05-06,126262,89731,61479,,28252,46.0,2020/05/06(20:00),-
2020-05-07,126580,88789,62127,,26662,42.9,2020/05/07(20:00),-
2020-05-08,126580,90233,62506,,27727,44.4,2020/05/08(17:00),-
2020-05-09,126580,87591,55520,,32071,57.8,2020/05/09(12:00),-
2020-05-10,126580,88343,54608,,33735,61.8,2020/05/10(21:00),-
2020-05-11,126580,86688,61467,,25221,41.0,2020/05/11(20:00),-
2020-05-12,126580,88047,61820,,26227,42.4,2020/05/12(20:00),-
2020-05-13,126580,89183,61203,,27980,45.7,2020/05/13(20:00),-
2020-05-14,126580,88998,62498,,26500,42.4,2020/05/14(17:00),-
2020-05-15,126580,88356,64508,,23848,37.0,2020/05/15(11:00),-
2020-05-16,126580,87257,54733,,32524,59.4,2020/05/16(21:00),-
2020-05-17,126580,90211,55310,,34901,63.1,2020/05/17(21:00),-
2020-05-18,126580,88211,65700,,22511,34.3,2020/05/18(17:00),-
2020-05-19,126580,92441,63817,,28624,44.9,2020/05/19(11:00),-
2020-05-20,126580,91454,61065,,30389,49.8,2020/05/20(20:00),-
2020-05-21,126580,90663,61329,,29334,47.8,2020/05/21(20:00),-
2020-05-22,126580,91340,61067,,30273,49.6,2020/05/22(17:00),-
2020-05-23,126580,94866,54830,,40036,73.0,2020/05/23(21:00),-
2020-05-24,126580,96012,54457,,41555,76.3,2020/05/24(21:00),-
2020-05-25,126580,94923,62174,,32749,52.7,2020/05/25(17:00),-
2020-05-26,126580,94878,62836,,32042,51.0,2020/05/26(18:00),-
2020-05-27,126580,93280,61192,,32088,52.4,2020/05/27(20:00),-
2020-05-28,126580,94699,61697,,33002,53.5,2020/05/28(18:00),-
2020-05-29,126580,93465,61765,,31700,51.3,2020/05/29(17:00),-
2020-05-30,126580,93168,54866,,38302,69.8,2020/05/30(21:00),-
2020-05-31,126798,91572,53975,,37597,69.7,2020/05/31(21:00),-
2020-06-01,126798,93552,62505,,31047,49.7,2020/06/01(18:00),-
2020-06-02,126798,92482,64274,,28208,43.9,2020/06/02(17:00),-
2020-06-03,126798,93068,66004,,27064,41.0,2020/06/03(17:00),-
2020-06-04,126798,90830,67908,,22922,33.8,2020/06/04(17:00),-
2020-06-05,126798,91841,67093,,24748,36.9,2020/06/05(17:00),-
2020-06-06,126798,90868,57796,,33072,57.2,2020/06/06(21:00),-
2020-06-07,126798,93095,56738,,36357,64.1,2020/06/07(21:00),-
2020-06-08,126798,93424,70986,,22438,31.6,2020/06/08(17:00),-
2020-06-09,126798,91007,73065,,17942,24.6,2020/06/09(17:00),-
2020-06-10,126798,91874,75247,,16627,22.1,2020/06/10(17:00),-
2020-06-11,126798,91127,72458,,18669,25.8,2020/06/11(17:00),-
2020-06-12,126798,90658,71925,,18733,26.0,2020/06/12(17:00),-
2020-06-13,126798,89021,61765,,27256,44.1,2020/06/13(20:00),-
2020-06-14,126798,89401,58071,,31330,54.0,2020/06/14(21:00),-
2020-06-15,126798,90337,68945,,21392,31.0,2020/06/15(17:00),-
2020-06-16,126798,88932,70355,,18577,26.4,2020/06/16(17:00),-
2020-06-17,126798,86671,71113,,15558,21.9,2020/06/17(17:00),-
2020-06-18,126798,88958,68208,,20750,30.4,2020/06/18(15:00),-
2020-06-19,127153,91543,67881,,23662,34.9,2020/06/19(17:00),-
2020-06-20,127153,90621,58749,,31872,54.3,2020/06/20(21:00),-
2020-06-21,127153,91226,58769,,32457,55.2,2020/06/21(21:00),-
2020-06-22,127153,92668,74046,,18622,25.1,2020/06/22(17:00),-
2020-06-23,127153,93139,74580,,18559,24.9,2020/06/23(17:00),-
2020-06-24,127153,94036,71085,,22951,32.3,2020/06/24(11:00),-
2020-06-25,127153,92616,70436,,22180,31.5,2020/06/25(15:00),-
2020-06-26,127153,94508,67237,,27271,40.6,2020/06/26(17:00),-
2020-06-27,127153,94225,59168,,35057,59.2,2020/06/27(21:00),-
2020-06-28,127153,94649,58627,,36022,61.4,2020/06/28(21:00),-
2020-06-29,127153,93710,71580,,22130,30.9,2020/06/29(15:00),-
2020-06-30,127338,96204,67390,,28814,42.8,2020/06/30(17:00),-
2020-07-01,127338,93570,67510,,26060,38.6,2020/07/01(17:00),-
2020-07-02,127338,95513,70435,,25078,35.6,2020/07/02(17:00),-
2020-07-03,127338,93248,69956,,23292,33.3,2020/07/03(15:00),-
2020-07-04,127338,90430,58241,,32189,55.3,2020/07/04(21:00),-
2020-07-05,127338,94623,58879,,35744,60.7,2020/07/05(21:00),-
2020-07-06,127338,96795,73331,,23464,32.0,2020/07/06(17:00),-
2020-07-07,127338,99029,72265,,26764,37.0,2020/07/07(17:00),-
2020-07-08,127338,98039,74371,,23668,31.8,2020/07/08(17:00),-
2020-07-09,127338,97338,75675,,21663,28.6,2020/07/09(17:00),-
2020-07-10,127338,97930,72503,,25427,35.1,2020/07/10(17:00),-
2020-07-11,127338,96925,61501,,35424,57.6,2020/07/11(20:00),-
2020-07-12,127338,98333,58411,,39922,68.3,2020/07/12(20:00),-
2020-07-13,127338,99746,68771,,30975,45.0,2020/07/13(17:00),-
2020-07-14,127338,99756,68457,,31299,45.7,2020/07/14(17:00),-
2020-07-15,127338,99753,68952,,30801,44.7,2020/07/15(17:00),-
2020-07-16,127338,100269,70509,,29760,42.2,2020/07/16(17:00),-
2020-07-17,127338,99492,71418,,28074,39.3,2020/07/17(17:00),-
2020-07-18,127338,97009,61204,,35805,58.5,2020/07/18(21:00),-
2020-07-19,127338,95880,62377,,33503,53.7,2020/07/19(21:00),-
2020-07-20,127338,98419,73800,,24619,33.4,2020/07/20(11:00),-
2020-07-21,127819,97779,74450,,23329,31.3,2020/07/21(17:00),-
2020-07-22,127819,95809,74111,,21698,29.3,2020/07/22(15:00),-
2020-07-23,127819,97026,72543,,24483,33.7,2020/07/23(15:00),-
2020-07-24,127819,95911,69401,,26510,38.2,2020/07/24(15:00),-
2020-07-25,127819,96250,59890,,36360,60.7,2020/07/25(21:00),-
2020-07-26,127819,96604,60578,,36026,59.5,2020/07/26(21:00),-
2020-07-27,127819,95989,73006,,22983,31.5,2020/07/27(17:00),-
2020-07-28,127819,96278,73747,,22531,30.6,2020/07/28(17:00),-
2020-07-29,127819,97376,73525,,23851,32.4,2020/07/29(15:00),-
2020-07-30,127819,97773,72981,,24792,34.0,2020/07/30(17:00),-
2020-07-31,127819,97643,72400,,25243,34.9,2020/07/31(17:00),-
2020-08-01,127819,97532,62900,,34632,55.1,2020/08/01(20:00),-
2020-08-02,127819,97712,62345,,35367,56.7,2020/08/02(20:00),-
2020-08-03,127819,97969,68035,,29934,44.0,2020/08/03(16:00),-
2020-08-04,127819,98627,71617,,27010,37.7,2020/08/04(18:00),-
2020-08-05,127819,98490,72543,,25947,35.8,2020/08/05(14:00),-
2020-08-06,127819,98650,73160,,25490,34.8,2020/08/06(12:00),-
2020-08-07,127819,98278,72986,,25292,34.7,2020/08/07(15:00),-
2020-08-08,127819,96841,64649,,32192,49.8,2020/08/08(12:00),-
2020-08-09,127819,98702,65302,,33400,51.1,2020/08/09(20:00),-
2020-08-10,127819,97823,80229,,17594,21.9,2020/08/10(15:00),-
2020-08-11,127819,97735,79148,,18587,23.5,2020/08/11(15:00),-
2020-08-12,127819,97600,82122,,15478,18.8,2020/08/12(17:00),-
2020-08-13,127819,99086,83777,,15309,18.3,2020/08/13(17:00),-
2020-08-14,127819,99312,82639,,16673,20.2,2020/08/14(17:00),-
2020-08-15,127819,97614,72195,,25419,35.2,2020/08/15(20:00),-
2020-08-16,127819,97669,70452,,27217,38.6,2020/08/16(20:00),-
2020-08-17,127819,97376,78553,,18823,24.0,2020/08/17(19:00),-
2020-08-18,127819,98698,86324,,12374,14.3,2020/08/18(18:00),-
2020-08-19,127819,99866,86698,,13168,15.2,2020/08/19(17:00),-
2020-08-20,127819,98613,86967,,11646,13.4,2020/08/20(17:00),-
2020-08-21,127819,99830,84425,,15405,18.2,2020/08/21(17:00),-
2020-08-22,127819,97583,69559,,28024,40.3,2020/08/22(14:00),-
2020-08-23,127819,97178,68538,,28640,41.8,2020/08/23(20:00),-
2020-08-24,127819,98291,85076,,13215,15.5,2020/08/24(17:00),-
2020-08-25,127819,97899,88574,,9325,10.5,2020/08/25(17:00),-
2020-08-26,127819,97951,89091,,8860,9.9,2020/08/26(15:00),-
2020-08-27,127819,98377,84961,,13416,15.8,2020/08/27(17:00),-
2020-08-28,128078,98247,85677,,12570,14.7,2020/08/28(17:00),-
2020-08-29,128078,94365,72836,,21529,29.6,2020/08/29(15:00),-
2020-08-30,128078,97818,71466,,26352,36.9,2020/08/30(20:00),-
2020-08-31,128078,98469,82673,,15796,19.1,2020/08/31(17:00),-
2020-09-01,128078,96797,82036,,14761,18.0,2020/09/01(17:00),-
2020-09-02,128078,96522,81356,,15166,18.6,2020/09/02(15:00),-
2020-09-03,128078,93299,74636,,18663,25.0,2020/09/03(17:00),-
2020-09-04,128078,92606,73772,,18834,25.5,2020/09/04(17:00),-
2020-09-05,128078,88098,61835,,26263,42.5,2020/09/05(15:00),-
2020-09-06,128078,91524,59566,,31958,53.7,2020/09/06(20:00),-
2020-09-07,128078,90928,69547,,21381,30.7,2020/09/07(17:00),-
2020-09-08,128078,91007,73153,,17854,24.4,2020/09/08(17:00),-
2020-09-09,128078,90356,71515,,18841,26.3,2020/09/09(17:00),-
2020-09-10,128078,89827,72738,,17089,23.5,2020/09/10(17:00),-
2020-09-11,128078,89004,73473,,15531,21.1,2020/09/11(15:00),-
2020-09-12,128078,85586,60966,,24620,40.4,2020/09/12(20:00),-
2020-09-13,128078,86405,59480,,26925,45.3,2020/09/13(20:00),-
2020-09-14,128078,88674,70702,,17972,25.4,2020/09/14(17:00),-
2020-09-15,128078,87732,73146,,14586,19.9,2020/09/15(17:00),-
2020-09-16,128078,87437,73144,,14293,19.5,2020/09/16(17:00),-
2020-09-17,128078,88228,71725,,16503,23.0,2020/09/17(15:00),-
2020-09-18,128078,89897,68259,,21638,31.7,2020/09/18(17:00),-
2020-09-19,128078,84851,59888,,24963,41.7,2020/09/19(20:00),-
2020-09-20,128078,87008,58261,,28747,49.3,2020/09/20(20:00),-
2020-09-21,128078,85529,67626,,17903,26.5,2020/09/21(19:00),-
2020-09-22,128078,85522,68157,,17365,25.5,2020/09/22(19:00),-
2020-09-23,128078,85480,68298,,17182,25.2,2020/09/23(17:00),-
2020-09-24,128078,85023,69151,,15872,23.0,2020/09/24(17:00),-
2020-09-25,128562,83744,67826,,15918,23.5,2020/09/25(17:00),-
2020-09-26,128562,82264,59397,,22867,38.5,2020/09/26(20:00),-
2020-09-27,128562,84816,58397,,26419,45.2,2020/09/27(20:00),-
2020-09-28,128562,86570,66036,,20534,31.1,2020/09/28(19:00),-
2020-09-29,128562,85624,60187,,25437,42.3,2020/09/29(19:00),-
2020-09-30,128562,85437,51986,,33451,64.3,2020/09/30(19:00),-
2020-10-01,128562,83392,48946,,34446,70.4,2020/10/01(20:00),-
2020-10-02,128562,83813,51651,,32162,62.3,2020/10/02(20:00),-
2020-10-03,128562,83911,53653,,30258,56.4,2020/10/03(19:00),-
2020-10-04,128562,84967,55638,,29329,52.7,2020/10/04(19:00),-
2020-10-05,128562,82923,65238,,17685,27.1,2020/10/05(19:00),-
2020-10-06,128562,83948,66935,,17013,25.4,2020/10/06(19:00),-
2020-10-07,128562,83795,66722,,17073,25.6,2020/10/07(19:00),-
2020-10-08,128562,85846,66261,,19585,29.6,2020/10/08(19:00),-
2020-10-09,128562,84994,62608,,22386,35.8,2020/10/09(19:00),-
2020-10-10,128562,85805,57877,,27928,48.3,2020/10/10(19:00),-
2020-10-11,128562,87356,57139,,30217,52.9,2020/10/11(20:00),-
2020-10-12,128562,87545,67195,,20350,30.3,2020/10/12(19:00),-
2020-10-13,128562,87140,67755,,19385,28.6,2020/10/13(19:00),-
2020-10-14,128562,87900,67364,,20536,30.5,2020/10/14(19:00),-
2020-10-15,128562,87965,67771,,20194,29.8,2020/10/15(19:00),-
2020-10-16,128562,88445,67349,,21096,31.3,2020/10/16(19:00),-
2020-10-17,128562,86170,59231,,26939,45.5,2020/10/17(19:00),-
2020-10-18,128562,86593,57306,,29287,51.1,2020/10/18(20:00),-
2020-10-19,128562,86637,67545,,19092,28.3,2020/10/19(19:00),-
2020-10-20,127762,86336,67824,,18512,27.3,2020/10/20(19:00),-
2020-10-21,127762,85999,68454,,17545,25.6,2020/10/21(17:00),-
2020-10-22,127762,86805,68374,,18431,27.0,2020/10/22(19:00),-
2020-10-23,127762,88205,67147,,21058,31.4,2020/10/23(19:00),-
2020-10-24,127762,87472,59213,,28259,47.7,2020/10/24(19:00),-
2020-10-25,127762,86531,57288,,29243,51.0,2020/10/25(19:00),-
2020-10-26,127762,85565,67680,,17885,26.4,2020/10/26(19:00),-
2020-10-27,127762,83430,67660,,15770,23.3,2020/10/27(19:00),-
2020-10-28,127762,84286,66752,,17534,26.3,2020/10/28(19:00),-
2020-10-29,128197,86310,67410,,18900,28.0,2020/10/29(19:00),-
2020-10-30,128197,87749,66037,,21712,32.9,2020/10/30(19:00),-
2020-10-31,128197,83503,57719,,25784,44.7,2020/10/31(19:00),-
2020-11-01,128197,82297,56822,,25475,44.8,2020/11/01(19:00),-
2020-11-02,128197,83707,66720,,16987,25.5,2020/11/02(19:00),-
2020-11-03,128197,84039,69570,,14469,20.8,2020/11/03(18:00),-
2020-11-04,128197,84201,69231,,14970,21.6,2020/11/04(18:00),-
2020-11-05,128197,84703,68907,,15796,22.9,2020/11/05(17:00),-
2020-11-06,128197,86273,69596,,16677,24.0,2020/11/06(10:00),-
2020-11-07,128197,86552,58540,,28012,47.9,2020/11/07(19:00),-
2020-11-08,128197,88167,57536,,30631,53.2,2020/11/08(19:00),-
2020-11-09,128197,87391,69999,,17392,24.8,2020/11/09(17:00),-
2020-11-10,128197,87738,68952,,18786,27.2,2020/11/10(19:00),-
2020-11-11,128197,86307,67954,,18353,27.0,2020/11/11(09:00),-
2020-11-12,128197,86645,68011,,18634,27.4,2020/11/12(19:00),-
2020-11-13,128197,85827,67692,,18135,26.8,2020/11/13(09:00),-
2020-11-14,128197,85450,58858,,26592,45.2,2020/11/14(19:00),-
2020-11-15,128197,86174,57555,,28619,49.7,2020/11/15(19:00),-
2020-11-16,128197,84560,68154,,16406,24.1,2020/11/16(17:00),-
2020-11-17,128197,87217,69082,,18135,26.3,2020/11/17(17:00),-
2020-11-18,128197,88630,69555,,19075,27.4,2020/11/18(17:00),-
2020-11-19,128197,87933,70905,,17028,24.0,2020/11/19(15:00),-
2020-11-20,128197,89056,71916,,17140,23.8,2020/11/20(17:00),-
2020-11-21,128197,90106,60121,,29985,49.9,2020/11/21(19:00),-
2020-11-22,128197,91702,59194,,32508,54.9,2020/11/22(19:00),-
2020-11-23,128197,90650,73234,,17416,23.8,2020/11/23(18:00),-
2020-11-24,128197,92402,73988,,18414,24.9,2020/11/24(10:00),-
2020-11-25,128197,93638,72888,,20750,28.5,2020/11/25(17:00),-
2020-11-26,128197,91860,73798,,18062,24.5,2020/11/26(10:00),-
2020-11-27,128609,95242,73588,,21654,29.4,2020/11/27(17:00),-
2020-11-28,128609,94835,63912,,30923,48.4,2020/11/28(19:00),-
2020-11-29,128609,94989,62162,,32827,52.8,2020/11/29(19:00),-
2020-11-30,128609,96827,77074,,19753,25.6,2020/11/30(17:00),-
2020-12-01,128609,89162,76210,,12952,17.0,2020/12/01(17:00),-
2020-12-02,128609,90125,77722,,12403,16.0,2020/12/02(10:00),-
2020-12-03,128609,90134,76904,,13230,17.2,2020/12/03(18:00),-
2020-12-04,128609,90619,76916,,13703,17.8,2020/12/04(10:00),-
2020-12-05,128609,87545,64555,,22990,35.6,2020/12/05(19:00),-
2020-12-06,128609,86824,62314,,24510,39.3,2020/12/06(19:00),-
2020-12-07,128609,89207,78832,,10375,13.2,2020/12/07(10:00),-
2020-12-08,128609,90949,78234,,12715,16.3,2020/12/08(17:00),-
2020-12-09,128609,92162,78544,,13618,17.3,2020/12/09(10:00),-
2020-12-10,128609,91022,80497,,10525,13.1,2020/12/10(10:00),-
2020-12-11,128609,91288,77669,,13619,17.5,2020/12/11(10:00),-
2020-12-12,128609,88706,64485,,24221,37.6,2020/12/12(19:00),-
2020-12-13,128609,90985,63683,,27302,42.9,2020/12/13(19:00),-
2020-12-14,128609,96126,84182,,11944,14.2,2020/12/14(17:00),-
2020-12-15,128609,97585,84708,,12877,15.2,2020/12/15(17:00),-
2020-12-16,128609,98795,85132,,13663,16.0,2020/12/16(17:00),-
2020-12-17,128609,97476,84185,,13291,15.8,2020/12/17(10:00),-
2020-12-18,128609,97067,82899,,14168,17.1,2020/12/18(10:00),-
2020-12-19,128609,94556,69628,,24928,35.8,2020/12/19(19:00),-
2020-12-20,128609,92484,66560,,25924,38.9,2020/12/20(19:00),-
2020-12-21,128609,95863,82906,,12957,15.6,2020/12/21(10:00),-
2020-12-22,128609,94909,82109,,12800,15.6,2020/12/22(10:00),-
2020-12-23,128609,96337,81349,,14988,18.4,2020/12/23(10:00),-
2020-12-24,128609,94665,77124,,17541,22.7,2020/12/24(10:00),-
2020-12-25,128609,94583,67327,,27256,40.5,2020/12/25(19:00),-
2020-12-26,128609,92990,63604,,29386,46.2,2020/12/26(19:00),-
2020-12-27,128609,92923,62840,,30083,47.9,2020/12/27(19:00),-
2020-12-28,128609,96902,76803,,20099,26.2,2020/12/28(10:00),-
2020-12-29,129191,98175,78915,,19260,24.4,2020/12/29(17:00),-
2020-12-30,129191,99290,83916,,15374,18.3,2020/12/30(10:00),-
2020-12-31,129191,99506,80632,,18874,23.4,2020/12/31(10:00),-
2021-01-01,128209,98477,64942,,33535,51.6,2021/01/01(01:00),-
2021-01-02,128209,97800,64982,,32818,50.5,2021/01/02(19:00),-
2021-01-03,128209,96591,66473,,30118,45.3,2021/01/03(19:00),-
2021-01-04,128209,97246,82840,,14406,17.4,2021/01/04(17:00),-
2021-01-05,128209,97905,84497,,13408,15.9,2021/01/05(17:00),-
2021-01-06,128209,98015,85568,,12447,14.5,2021/01/06(10:00),-
2021-01-07,128209,98213,90195,,8018,8.9,2021/01/07(17:00),-
2021-01-08,128209,98229,89858,,8371,9.3,2021/01/08(11:00),-
